name,description,sku,category,price,status,tags,thumbnail_url,primary_image_url,additional_images
Wireless Charging Pad,Premium wireless charging pad with LED indicator and fast charging support for all Qi-enabled devices,TECH-001,electronics,34.99,active,wireless;charging;tech;gift,https://images.unsplash.com/photo-1615526675159-e248c3021d3f?w=400,https://images.unsplash.com/photo-1615526675159-e248c3021d3f?w=800,
Leather Portfolio,Executive leather portfolio with document organizer and built-in calculator,PORT-001,office,89.99,active,leather;portfolio;executive;professional,https://images.unsplash.com/photo-1553729459-efe14ef6055d?w=400,https://images.unsplash.com/photo-1553729459-efe14ef6055d?w=800,
Bamboo Water Bottle,Eco-friendly bamboo water bottle with temperature retention up to 24 hours,BOT-001,drinkware,28.99,active,bamboo;eco;bottle;sustainable,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=400,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=800,
USB Flash Drive Set,Premium metal USB 3.0 flash drive set with custom engraving options,USB-001,electronics,45.99,active,usb;storage;tech;engraving,https://images.unsplash.com/photo-1597484661973-ee6cd0b6482c?w=400,https://images.unsplash.com/photo-1597484661973-ee6cd0b6482c?w=800,
Canvas Messenger Bag,Durable canvas messenger bag with laptop compartment and adjustable strap,BAG-001,bags,67.99,active,canvas;messenger;laptop;professional,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=800,
Travel Tumbler,Stainless steel travel tumbler with spill-proof lid and heat retention,TUM-001,drinkware,22.99,active,tumbler;travel;stainless;insulated,https://images.unsplash.com/photo-1570831739435-6601aa3fa4fb?w=400,https://images.unsplash.com/photo-1570831739435-6601aa3fa4fb?w=800,
Desktop Organizer,Wooden desktop organizer with phone stand and multiple compartments,DESK-001,office,38.99,active,wood;organizer;desktop;office,https://images.unsplash.com/photo-1555982105-d25af4182e4e?w=400,https://images.unsplash.com/photo-1555982105-d25af4182e4e?w=800,
Bluetooth Speaker,Portable waterproof Bluetooth speaker with 360-degree sound,SPEAK-001,electronics,56.99,active,bluetooth;speaker;waterproof;portable,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=800,
Recycled Notebook Set,Set of eco-friendly notebooks made from recycled paper with hardcover binding,NOTE-001,office,24.99,active,recycled;notebook;eco;sustainable,https://images.unsplash.com/photo-1531346878377-a5be20888e57?w=400,https://images.unsplash.com/photo-1531346878377-a5be20888e57?w=800,
Power Bank,High-capacity 20000mAh power bank with dual USB ports and LED display,POWER-001,electronics,42.99,active,power;battery;portable;charging,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=400,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=800,
Lunch Box Set,Premium stainless steel lunch box set with separate compartments and cutlery,LUNCH-001,kitchenware,35.99,active,lunch;stainless;food;container,https://images.unsplash.com/photo-1584776296018-3b6b0a9b7c7a?w=400,https://images.unsplash.com/photo-1584776296018-3b6b0a9b7c7a?w=800,
Golf Ball Set,Professional golf ball set with custom logo printing options,GOLF-001,sports,48.99,active,golf;sports;outdoor;gift,https://images.unsplash.com/photo-1535131749006-b7f58c99034b?w=400,https://images.unsplash.com/photo-1535131749006-b7f58c99034b?w=800,
Ceramic Planter Set,Modern ceramic planter set with drainage system and minimalist design,PLANT-001,decor,31.99,active,ceramic;planter;decor;office,https://images.unsplash.com/photo-1485955900006-10f4d324d411?w=400,https://images.unsplash.com/photo-1485955900006-10f4d324d411?w=800,
Umbrella,Windproof automatic umbrella with reinforced frame and custom branding area,UMB-001,accessories,26.99,active,umbrella;windproof;rain;weather,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,
Keychain Multi-tool,Compact stainless steel multi-tool keychain with 5 essential functions,KEY-001,accessories,18.99,active,keychain;tool;utility;portable,https://images.unsplash.com/photo-1609205807490-89b8e30fc5f8?w=400,https://images.unsplash.com/photo-1609205807490-89b8e30fc5f8?w=800,
Coaster Set,Premium wooden coaster set with cork backing and custom engraving,COAST-001,decor,21.99,active,coaster;wood;home;gift,https://images.unsplash.com/photo-1615874959474-d609969a20ed?w=400,https://images.unsplash.com/photo-1615874959474-d609969a20ed?w=800,